product_id,vendor,max_price,min_price,last_updated
8134780,coles,2.8,2.8,2026-05-16
8146451,coles,16.0,16.0,2026-05-16
8153038,coles,16.0,16.0,2026-05-16
8153050,coles,16.0,16.0,2026-05-16
8153082,coles,16.0,16.0,2026-05-16
8153173,coles,16.0,16.0,2026-05-16
8386273,coles,15.0,15.0,2026-05-16
8386284,coles,15.0,15.0,2026-05-16
8386295,coles,15.0,15.0,2026-05-16
8386309,coles,15.0,15.0,2026-05-16
8386310,coles,15.0,15.0,2026-05-16
8593052,coles,7.0,7.0,2026-05-16
8593100,coles,7.0,7.0,2026-05-16
8593143,coles,13.0,13.0,2026-05-16
8685092,coles,8.0,4.0,2026-05-16
8848867,coles,10.0,8.9,2026-05-16
8848889,coles,10.0,8.9,2026-05-16
8849338,coles,10.0,8.9,2026-05-16
8953690,coles,8.5,8.5,2026-05-16
8956429,coles,8.5,8.5,2026-04-27
8957501,coles,8.5,8.5,2026-05-16
8962090,coles,8.0,6.0,2026-05-16
8962115,coles,8.0,6.0,2026-05-16
8962126,coles,8.0,6.0,2026-05-16
8962137,coles,8.0,6.0,2026-05-16
9013023,coles,12.5,12.5,2026-05-16
9026160,coles,2.95,2.95,2026-04-27
9026400,coles,7.0,7.0,2026-05-16
9026740,coles,13.0,13.0,2026-05-16
9026783,coles,13.0,13.0,2026-05-16
9031433,coles,7.3,7.3,2026-04-27
9092540,coles,5.0,5.0,2026-05-16
9102054,coles,2.9,2.9,2026-04-27
9110234,coles,3.8,2.95,2026-05-16
9152370,coles,9.5,9.0,2026-05-16
9152391,coles,4.6,4.6,2026-04-27
9152405,coles,7.5,7.5,2026-05-16
9161519,coles,1.9,1.9,2026-05-16
9161530,coles,1.35,1.35,2026-05-16
9333818,coles,3.5,3.1,2026-05-16
9467745,coles,4.0,3.5,2026-05-16
9493100,coles,4.0,4.0,2026-05-16
9642980,coles,6.0,6.0,2026-05-16
9800265,coles,5.8,5.8,2026-05-16
100000164,skin_seoul,29.62,28.2,2026-05-16
100003689,skin_seoul,34.43,34.43,2026-05-16
100005694,skin_seoul,59.85,59.75,2026-05-16
100009126,skin_seoul,25.84,20.57,2026-05-16
100009941,skin_seoul,33.46,22.91,2026-05-16
100035574,skin_seoul,60.18,31.33,2026-05-16
100042771,skin_seoul,59.89,31.04,2026-05-16
100054443,skin_seoul,17.66,17.66,2026-05-16
104253,woolworths,17.0,17.0,2026-05-16
119221,woolworths,2.6,2.6,2026-05-16
121154,woolworths,1.7,1.7,2026-05-16
12407,woolworths,7.5,7.5,2026-05-16
132612,woolworths,16.0,16.0,2026-05-16
143191,woolworths,8.9,8.9,2026-05-16
147307,woolworths,12.7,12.7,2026-05-16
150052,woolworths,5.5,5.5,2026-05-16
158767,woolworths,8.6,8.6,2026-05-16
165930,woolworths,23.0,23.0,2026-05-16
167690,woolworths,1.75,1.75,2026-05-16
171303,woolworths,6.0,6.0,2026-04-27
172610,woolworths,3.5,3.5,2026-05-16
173155,woolworths,6.0,6.0,2026-05-16
183671,woolworths,5.0,5.0,2026-05-16
184937,woolworths,5.85,5.85,2026-05-16
193613,woolworths,4.0,4.0,2026-04-27
196464,woolworths,8.4,8.4,2026-05-16
207593,woolworths,5.6,5.6,2026-05-16
208083,woolworths,10.0,10.0,2026-05-16
208879,woolworths,12.8,12.8,2026-05-16
208900,woolworths,8.9,8.9,2026-05-16
225360,woolworths,10.0,8.0,2026-05-16
225942,woolworths,9.5,9.5,2026-05-16
237230,woolworths,2.0,2.0,2026-05-16
237935,woolworths,2.2,2.2,2026-05-16
251185,woolworths,8.4,8.4,2026-05-16
267357,woolworths,10.5,9.45,2026-05-16
268645,woolworths,12.0,12.0,2026-05-16
272603,woolworths,8.5,8.5,2026-05-16
29425,woolworths,2.2,2.2,2026-05-16
304776,woolworths,15.0,15.0,2026-05-16
317491,woolworths,2.2,2.2,2026-05-16
318338,woolworths,2.3,2.3,2026-05-16
377308,woolworths,5.85,5.85,2026-05-16
390686,woolworths,9.0,9.0,2026-05-16
420783,woolworths,9.0,9.0,2026-05-16
435447,woolworths,9.5,9.5,2026-05-16
435816,woolworths,8.5,8.5,2026-05-16
439743,woolworths,4.1,4.1,2026-05-16
440154,woolworths,8.5,8.5,2026-05-16
443282,woolworths,8.0,8.0,2026-04-27
464665,woolworths,9.0,9.0,2026-04-27
471733,woolworths,12.0,12.0,2026-05-16
473213,woolworths,10.3,10.3,2026-05-16
503962,woolworths,2.2,2.2,2026-05-16
503965,woolworths,5.8,5.8,2026-05-16
504818,woolworths,8.9,8.9,2026-05-16
507634,woolworths,6.9,6.9,2026-05-16
508853,woolworths,7.2,7.2,2026-05-16
511906,woolworths,9.0,9.0,2026-05-16
512422,woolworths,5.8,4.0,2026-05-16
534743,woolworths,3.5,3.5,2026-05-16
55469,woolworths,19.5,19.5,2026-05-16
566256,woolworths,6.0,6.0,2026-05-16
579597,woolworths,5.8,4.0,2026-05-16
580263,woolworths,12.0,12.0,2026-05-16
580718,woolworths,1.8,1.8,2026-05-16
582990,woolworths,6.95,6.95,2026-05-16
6005360,woolworths,11.0,9.5,2026-05-16
6005487,woolworths,13.5,13.5,2026-05-16
6006077,woolworths,2.0,2.0,2026-05-16
6006664,woolworths,3.8,3.0,2026-05-16
6011614,woolworths,15.0,15.0,2026-05-16
601574,woolworths,7.5,7.5,2026-05-16
6016152,woolworths,12.5,12.5,2026-05-16
6029127,woolworths,9.0,9.0,2026-05-16
6030841,woolworths,9.0,9.0,2026-05-16
6031000,woolworths,9.0,9.0,2026-04-27
6031257,woolworths,12.0,12.0,2026-05-16
6032680,woolworths,8.9,8.9,2026-04-27
6032780,woolworths,8.9,8.9,2026-05-16
603792,woolworths,6.0,6.0,2026-05-16
6041574,woolworths,19.9,19.9,2026-05-16
6048140,woolworths,16.0,16.0,2026-04-27
6054581,woolworths,8.9,8.9,2026-05-16
6054590,woolworths,12.5,12.5,2026-05-16
6054597,woolworths,6.75,6.75,2026-05-16
6054840,woolworths,7.6,4.5,2026-05-16
6054860,woolworths,7.6,4.5,2026-05-16
6055337,woolworths,3.5,2.0,2026-05-16
6055344,woolworths,7.0,7.0,2026-05-16
6055353,woolworths,2.5,2.0,2026-05-16
6055383,woolworths,10.0,10.0,2026-05-16
6055454,woolworths,3.5,2.0,2026-05-16
6055743,woolworths,9.5,7.6,2026-05-16
6056180,woolworths,7.6,7.6,2026-04-27
6056190,woolworths,9.5,7.6,2026-05-16
6056229,woolworths,3.5,3.5,2026-05-16
6056230,woolworths,5.8,5.8,2026-05-16
6059232,woolworths,11.0,11.0,2026-04-27
6059370,woolworths,14.0,9.8,2026-05-16
6067043,woolworths,9.0,9.0,2026-05-16
6067336,woolworths,9.0,9.0,2026-05-16
609556,woolworths,7.0,7.0,2026-04-27
62777,woolworths,3.0,3.0,2026-05-16
63899,woolworths,3.0,3.0,2026-05-16
64373,woolworths,2.7,2.7,2026-05-16
644239,woolworths,2.9,2.0,2026-05-16
644240,woolworths,2.2,1.95,2026-05-16
679037,woolworths,9.0,9.0,2026-05-16
686551,woolworths,7.0,7.0,2026-05-16
70720,woolworths,4.3,4.0,2026-05-16
720282,woolworths,2.2,2.2,2026-05-16
722,woolworths,13.5,13.5,2026-05-16
742707,woolworths,5.8,4.0,2026-05-16
759496,woolworths,1.9,1.9,2026-05-16
785118,woolworths,8.5,8.5,2026-05-16
785129,woolworths,8.5,8.5,2026-05-16
790810,woolworths,7.0,7.0,2026-05-16
79492,woolworths,2.6,2.6,2026-05-16
810344,woolworths,9.0,9.0,2026-05-16
847649,woolworths,7.9,5.9,2026-05-16
847655,woolworths,8.0,4.0,2026-05-16
851925,woolworths,13.6,13.6,2026-05-16
852042,woolworths,13.6,13.6,2026-05-16
85468,woolworths,5.6,5.6,2026-05-16
85470,woolworths,5.6,5.6,2026-05-16
85598,woolworths,7.0,7.0,2026-05-16
859246,woolworths,19.0,19.0,2026-05-16
88679,woolworths,12.0,12.0,2026-05-16
905464,woolworths,2.5,2.5,2026-05-16
935641,woolworths,12.0,12.0,2026-05-16
938184,woolworths,9.0,9.0,2026-05-16
972244,woolworths,2.5,2.5,2026-04-27
972302,woolworths,19.9,19.9,2026-05-16
972443,woolworths,1.35,1.35,2026-05-16
