date,product_id,vendor,category,price
2026-04-27,221702,woolworths,toilet_paper,1.5
2026-04-27,221703,woolworths,toilet_paper,3.0
2026-04-27,221710,woolworths,toilet_paper,3.0
2026-04-27,222575,woolworths,toilet_paper,1.5
2026-04-27,22452,woolworths,toilet_paper,3.0
2026-04-27,22455,woolworths,toilet_paper,5.0
2026-04-27,224587,woolworths,toilet_paper,7.5
2026-04-27,224754,woolworths,toilet_paper,6.0
2026-04-27,22782,woolworths,toilet_paper,3.5
2026-04-27,228135,woolworths,toilet_paper,1.5
2026-04-27,228152,woolworths,toilet_paper,19.0
2026-04-27,228942,woolworths,toilet_paper,2.52
2026-04-27,230108,woolworths,toilet_paper,4.5
2026-04-27,230867,woolworths,toilet_paper,3.5
2026-04-27,231374,woolworths,toilet_paper,6.2
2026-04-27,232002,woolworths,toilet_paper,8.5
2026-04-27,232083,woolworths,toilet_paper,6.6
2026-04-27,232302,woolworths,toilet_paper,5.0
2026-04-27,23329,woolworths,toilet_paper,0.99
2026-04-27,239179,woolworths,toilet_paper,10.5
2026-04-27,239509,woolworths,toilet_paper,5.25
2026-04-27,239951,woolworths,toilet_paper,5.25
2026-04-27,239953,woolworths,toilet_paper,5.25
2026-04-27,239954,woolworths,toilet_paper,3.5
2026-04-27,239955,woolworths,toilet_paper,3.5
2026-04-27,239956,woolworths,toilet_paper,3.5
2026-04-27,240072,woolworths,toilet_paper,1.3
2026-04-27,244291,woolworths,toilet_paper,6.5
2026-04-27,245029,woolworths,toilet_paper,6.0
2026-04-27,249921,woolworths,toilet_paper,5.0
2026-04-27,250305,woolworths,toilet_paper,3.6
2026-04-27,250481,woolworths,toilet_paper,3.5
2026-04-27,251185,woolworths,toilet_paper,8.4
2026-04-27,252037,woolworths,toilet_paper,5.0
2026-04-27,252787,woolworths,toilet_paper,2.7
2026-04-27,254216,woolworths,toilet_paper,7.95
2026-04-27,254715,woolworths,toilet_paper,8.8
2026-04-27,257296,woolworths,toilet_paper,3.7
2026-04-27,257299,woolworths,toilet_paper,6.4
2026-04-27,260479,woolworths,toilet_paper,2.5
2026-04-27,263351,woolworths,toilet_paper,3.5
2026-04-27,266008,woolworths,toilet_paper,8.5
2026-04-27,268645,woolworths,toilet_paper,12.0
2026-04-27,26907,woolworths,toilet_paper,3.5
2026-04-27,26919,woolworths,toilet_paper,5.0
2026-04-27,277788,woolworths,toilet_paper,3.5
2026-04-27,283096,woolworths,toilet_paper,3.65
2026-04-27,283098,woolworths,toilet_paper,4.0
2026-04-27,299138,woolworths,toilet_paper,6.0
2026-04-27,299272,woolworths,toilet_paper,4.0
2026-04-27,30083,woolworths,toilet_paper,1.95
2026-04-27,304005,woolworths,toilet_paper,1.5
2026-04-27,305889,woolworths,toilet_paper,7.0
2026-04-27,31238,woolworths,toilet_paper,2.5
2026-04-27,31952,woolworths,toilet_paper,8.0
2026-04-27,320688,woolworths,toilet_paper,5.0
2026-04-27,32112,woolworths,toilet_paper,6.0
2026-04-27,321446,woolworths,toilet_paper,5.0
2026-04-27,322495,woolworths,toilet_paper,10.0
2026-04-27,322688,woolworths,toilet_paper,6.6
2026-04-27,330476,woolworths,toilet_paper,4.5
2026-04-27,333429,woolworths,toilet_paper,1.65
2026-04-27,333435,woolworths,toilet_paper,4.0
2026-04-27,361090,woolworths,toilet_paper,8.5
2026-04-27,388458,woolworths,toilet_paper,2.0
2026-04-27,388988,woolworths,toilet_paper,3.6
2026-04-27,389031,woolworths,toilet_paper,2.0
2026-04-27,389072,woolworths,toilet_paper,2.0
2026-04-27,389073,woolworths,toilet_paper,2.0
2026-04-27,389198,woolworths,toilet_paper,1.25
2026-04-27,389199,woolworths,toilet_paper,1.25
2026-04-27,389200,woolworths,toilet_paper,1.25
2026-04-27,390686,woolworths,toilet_paper,9.0
2026-04-27,39680,woolworths,toilet_paper,4.0
2026-04-27,42312,woolworths,toilet_paper,4.0
2026-04-27,433119,woolworths,toilet_paper,8.5
2026-04-27,435065,woolworths,toilet_paper,5.3
2026-04-27,439743,woolworths,toilet_paper,4.1
2026-04-27,463854,woolworths,toilet_paper,3.5
2026-04-27,463969,woolworths,toilet_paper,5.0
2026-04-27,464665,woolworths,toilet_paper,9.0
2026-04-27,471733,woolworths,toilet_paper,12.0
2026-04-27,473213,woolworths,toilet_paper,10.3
2026-04-27,503965,woolworths,toilet_paper,5.8
2026-04-27,504818,woolworths,toilet_paper,8.9
2026-04-27,507634,woolworths,toilet_paper,6.9
2026-04-27,508853,woolworths,toilet_paper,7.2
2026-04-27,511906,woolworths,toilet_paper,9.0
2026-04-27,512422,woolworths,toilet_paper,4.0
2026-04-27,52703,woolworths,toilet_paper,2.1
2026-04-27,53329,woolworths,toilet_paper,17.0
2026-04-27,54466,woolworths,toilet_paper,3.15
2026-04-27,545972,woolworths,toilet_paper,1.25
2026-04-27,545973,woolworths,toilet_paper,1.25
2026-04-27,545975,woolworths,toilet_paper,1.0
2026-04-27,545977,woolworths,toilet_paper,1.0
2026-04-27,551353,woolworths,toilet_paper,0.75
2026-04-27,552526,woolworths,toilet_paper,6.9
2026-04-27,553062,woolworths,toilet_paper,14.3
2026-04-27,55469,woolworths,toilet_paper,19.5
2026-04-27,55669,woolworths,toilet_paper,6.0
2026-04-27,558261,woolworths,toilet_paper,3.5
2026-04-27,573468,woolworths,toilet_paper,8.0
2026-04-27,573709,woolworths,toilet_paper,7.0
2026-04-27,574728,woolworths,toilet_paper,5.0
2026-04-27,579597,woolworths,toilet_paper,4.0
2026-04-27,580263,woolworths,toilet_paper,12.0
2026-04-27,582990,woolworths,toilet_paper,6.95
2026-04-27,6005360,woolworths,toilet_paper,11.0
2026-04-27,6005423,woolworths,toilet_paper,12.5
2026-04-27,6005487,woolworths,toilet_paper,13.5
2026-04-27,6010285,woolworths,toilet_paper,1.5
2026-04-27,6010289,woolworths,toilet_paper,1.5
2026-04-27,6011509,woolworths,toilet_paper,1.5
2026-04-27,6011551,woolworths,toilet_paper,2.5
2026-04-27,6011614,woolworths,toilet_paper,15.0
2026-04-27,6017848,woolworths,toilet_paper,3.0
2026-04-27,6017849,woolworths,toilet_paper,2.1
2026-04-27,6017851,woolworths,toilet_paper,1.82
2026-04-27,6017852,woolworths,toilet_paper,3.0
2026-04-27,6017857,woolworths,toilet_paper,3.0
2026-04-27,6018372,woolworths,toilet_paper,1.75
2026-04-27,6018373,woolworths,toilet_paper,1.75
2026-04-27,6018374,woolworths,toilet_paper,1.75
2026-04-27,6018375,woolworths,toilet_paper,1.75
2026-04-27,6018376,woolworths,toilet_paper,1.75
2026-04-27,6018377,woolworths,toilet_paper,1.75
2026-04-27,6018378,woolworths,toilet_paper,3.0
2026-04-27,6018379,woolworths,toilet_paper,3.0
2026-04-27,6018380,woolworths,toilet_paper,3.0
2026-04-27,6018382,woolworths,toilet_paper,3.0
2026-04-27,6018388,woolworths,toilet_paper,2.75
2026-04-27,6018390,woolworths,toilet_paper,2.75
2026-04-27,6018391,woolworths,toilet_paper,2.75
2026-04-27,6018392,woolworths,toilet_paper,2.75
2026-04-27,6018919,woolworths,toilet_paper,4.5
2026-04-27,6018920,woolworths,toilet_paper,4.5
2026-04-27,6019847,woolworths,toilet_paper,15.0
2026-04-27,6019983,woolworths,toilet_paper,1.5
2026-04-27,6024637,woolworths,toilet_paper,14.5
2026-04-27,6024780,woolworths,toilet_paper,3.0
2026-04-27,6024782,woolworths,toilet_paper,0.75
2026-04-27,6024783,woolworths,toilet_paper,1.5
2026-04-27,6024784,woolworths,toilet_paper,2.4
2026-04-27,6024786,woolworths,toilet_paper,2.1
2026-04-27,6024787,woolworths,toilet_paper,2.1
2026-04-27,6025182,woolworths,toilet_paper,1.5
2026-04-27,6025640,woolworths,toilet_paper,20.0
2026-04-27,6026107,woolworths,toilet_paper,6.0
